Purchase_Date,Total_Amount,Moving_Average,Days,Linear_Trend
2020-02-05,9221.332906310894,5597.433615384484,35,5029.375511215399
2020-02-06,10041.748070238556,6007.190080936255,36,5029.371007507072
2020-02-07,2035.1529084784015,5488.74200731116,37,5029.366503798746
2020-02-08,3016.9657186912823,5679.874477447193,38,5029.362000090419
2020-02-09,8409.469406788992,6215.073483764206,39,5029.357496382093
2020-02-10,2058.7943546173865,6195.704010726344,40,5029.3529926737665
2020-02-11,4100.337293901067,5554.828665575225,41,5029.34848896544
2020-02-12,3067.2729263213596,4675.677239862435,42,5029.343985257114
2020-02-13,2936.7326093219635,3660.675031160065,43,5029.339481548787
2020-02-14,632.188995454877,3460.251615013847,44,5029.33497784046
2020-02-15,5606.077441437381,3830.1247182632897,45,5029.3304741321335
2020-02-16,1402.3471829730825,2829.10725771816,46,5029.325970423807
2020-02-17,1824.7425934447717,2795.671291836358,47,5029.321466715481
2020-02-18,3061.803069248248,2647.3092597430978,48,5029.316963007154
2020-02-19,7081.588255166081,3220.7828781494864,49,5029.312459298828
2020-02-20,5644.485588087741,3607.604732258883,50,5029.3079555905015
2020-02-21,5938.256564380288,4365.614384962513,51,5029.303451882175
2020-02-22,5679.203865324439,4376.061016946378,52,5029.298948173849
2020-02-23,3022.726413112501,4607.543764109153,53,5029.294444465522
2020-02-24,2796.8974783424037,4746.4230333802425,54,5029.289940757196
2020-02-25,2860.461346071467,4717.659930069274,55,5029.285437048869
2020-02-26,5455.509255982598,4485.36293018592,56,5029.280933340543
2020-02-27,5540.271654847195,4470.475225437271,57,5029.276429632217
2020-02-28,3625.7904859448513,4140.122928517922,58,5029.27192592389
2020-02-29,6144.930951975405,4206.655369468061,59,5029.267422215564
2020-03-01,6595.609375081263,4717.067221177883,60,5029.262918507237
2020-03-02,6719.179050123191,5277.39316000371,61,5029.258414798911
2020-03-03,3221.9363950497896,5329.032452714899,62,5029.253911090585
2020-03-04,5455.015947064287,5328.961980012283,63,5029.249407382258
2020-03-05,6617.707865626465,5482.881438695035,64,5029.244903673932
2020-03-06,1572.9853267430667,5189.623558809066,65,5029.240399965605
2020-03-07,5600.843124487358,5111.896726310775,66,5029.235896257279
2020-03-08,9130.943306042565,5474.087287876674,67,5029.2313925489525
2020-03-09,3850.6193452303805,5064.293044320558,68,5029.226888840626
2020-03-10,4078.9550292475715,5186.7242777773845,69,5029.2223851323
2020-03-11,6040.830524259557,5270.412074519567,70,5029.217881423973
2020-03-12,3661.9605318725353,4848.162455411862,71,5029.213377715647
2020-03-13,7419.8789479398665,5683.432972725691,72,5029.20887400732
2020-03-14,7280.61837246576,5923.400865294034,73,5029.204370298994
2020-03-15,1683.2964856727385,4859.4513195269155,74,5029.199866590668
2020-03-16,4326.268817581204,4927.401244148461,75,5029.195362882341
2020-03-17,4733.608134249861,5020.923116291647,76,5029.190859174015
2020-03-18,5030.105401692415,4876.533813067768,77,5029.186355465688
2020-03-19,4429.763393899468,4986.219936214474,78,5029.181851757362
2020-03-20,2655.540071587394,4305.6000967355485,79,5029.177348049036
2020-03-21,14337.062468656932,5313.6635390485735,80,5029.172844340709
2020-03-22,4311.865065376762,5689.173336149148,81,5029.168340632383
2020-03-23,7130.789542495804,6089.819153994091,82,5029.163836924056
2020-03-24,5185.356202490715,6154.354592314213,83,5029.15933321573
2020-03-25,6232.752885842294,6326.161375764195,84,5029.1548295074035
2020-03-26,4452.235831403001,6329.371723978986,85,5029.150325799077
2020-03-27,9910.546484917088,7365.801211597513,86,5029.145822090751
2020-03-28,2323.738270051685,5649.612040368193,87,5029.141318382424
2020-03-29,2274.083441582441,5358.500379826146,88,5029.136814674098
2020-03-30,8918.262186658883,5613.853614706587,89,5029.1323109657715
2020-03-31,6316.956262081425,5775.510766076688,90,5029.127807257445
2020-04-01,3336.7501754304567,5361.79609316071,91,5029.123303549119
2020-04-02,3056.230293420084,5162.366730591723,92,5029.118799840792
2020-04-03,5554.788350939475,4540.115568594921,93,5029.114296132466
2020-04-04,3261.517183422225,4674.083984790713,94,5029.109792424139
2020-04-05,5188.192330057435,5090.385254572854,95,5029.105288715813
2020-04-06,7154.877672910265,4838.473181180195,96,5029.100785007487
2020-04-07,7423.482270095342,4996.548325182183,97,5029.09628129916
2020-04-08,4628.8018617409725,5181.127137512257,98,5029.091777590834
2020-04-09,3605.599271588547,5259.608420107751,99,5029.087273882507
2020-04-10,1429.7273416109847,4670.313990203681,100,5029.082770174181
2020-04-11,1412.6502092732337,4406.190136753826,101,5029.0782664658545
2020-04-12,5613.999429941505,4467.01972245155,102,5029.073762757528
2020-04-13,5334.842709596722,4207.014727692472,103,5029.069259049202
2020-04-14,1491.9844190863641,3359.657891834047,104,5029.064755340875
2020-04-15,7636.549551659375,3789.3361332509617,105,5029.060251632549
2020-04-16,3130.7492941588453,3721.5004221895756,106,5029.0557479242225
2020-04-17,3811.80175091169,4061.7967663753907,107,5029.051244215896
2020-04-18,5384.125721437193,4629.150410970242,108,5029.04674050757
2020-04-19,3762.3156947394627,4364.624163084236,109,5029.042236799243
2020-04-21,3006.162796547971,4031.955604077272,111,5029.03322938259
2020-04-22,2051.5173942538368,4111.888886244053,112,5029.028725674264
2020-04-23,5308.170655369989,3779.2633296312843,113,5029.024221965938
2020-04-24,3258.9589082936136,3797.5789887933934,114,5029.019718257611
2020-04-25,4909.445504635605,3954.3852393253815,115,5029.015214549285
2020-04-26,9784.194480699425,4582.966490648558,116,5029.010710840958
2020-04-27,4965.336823757194,4754.826651936804,117,5029.006207132632
2020-04-28,6722.413804747386,5285.71965310815,118,5029.001703424306
2020-04-29,3938.696012658143,5555.316598594479,119,5028.997199715979
2020-04-30,11057.722688795719,6376.681174798156,120,5028.992696007653
2020-05-01,2344.2336735341637,6246.006141261091,121,5028.988192299326
2020-05-02,2498.930572846677,5901.646865291244,122,5028.983688591
2020-05-03,2442.0566261617787,4852.770028928723,123,5028.9791848826735
2020-05-04,7132.376946354648,5162.347189299789,124,5028.974681174347
2020-05-05,6569.76710590345,5140.540518036369,125,5028.970177466021
2020-05-06,3692.027028755937,5105.302091764625,126,5028.965673757694
2020-05-07,4916.270776965141,4227.951818645971,127,5028.961170049368
2020-05-08,8626.938948075947,5125.481143580511,128,5028.9566663410415
2020-05-09,4179.135625410389,5365.510436803898,129,5028.952162632715
2020-05-10,3596.4751676160427,5530.427371297365,130,5028.947658924389
2020-05-11,7284.059711006872,5552.096337676254,131,5028.943155216061
2020-05-12,5385.876034028489,5382.969041694117,132,5028.938651507735
2020-05-13,4270.287990427382,5465.5777505043225,133,5028.9341477994085
2020-05-14,4448.456240553895,5398.747102445574,134,5028.929644091082
2020-05-15,3314.81000701617,4639.871539437035,135,5028.925140382756
2020-05-16,1336.9376030908734,4233.843250534246,136,5028.920636674429
2020-05-17,12878.293906256491,5559.81735605431,137,5028.916132966103
2020-05-18,5356.506610881446,5284.452627464964,138,5028.911629257776
2020-05-19,8164.693298338119,5681.42652236634,139,5028.90712554945
2020-05-20,4941.14614002542,5777.263400880345,140,5028.902621841124
2020-05-21,7603.178445334068,6227.938001563227,141,5028.898118132797
2020-05-22,6320.8797063218435,6657.376530035465,142,5028.893614424471
2020-05-23,1797.9831261319846,6723.240176184196,143,5028.889110716144
2020-05-24,5050.768601526746,5605.022275508518,144,5028.884607007818
2020-05-25,10555.515302971164,6347.737802949907,145,5028.880103299492
2020-05-26,1201.1197869593466,5352.941587038653,146,5028.875599591165
2020-05-27,1030.6786296462801,4794.3033712702045,147,5028.871095882839
2020-05-28,9848.939110267695,5115.12632340358,148,5028.866592174512
2020-05-29,2353.0512734497065,4548.293690136132,149,5028.862088466186
2020-05-30,2535.3813953710974,4653.636300027434,150,5028.8575847578595
2020-05-31,5526.048540566336,4721.533434175946,151,5028.853081049533
2020-06-01,6984.215908499726,4211.347806394312,152,5028.848577341207
2020-06-02,2298.6777999168517,4368.141808245385,153,5028.84407363288
2020-06-04,5714.977212527889,5037.327320085614,155,5028.8350662162275
2020-06-05,2579.025463400264,3998.768227675981,156,5028.830562507901
2020-06-06,2759.783919325281,4056.8728913724917,157,5028.826058799575
2020-06-07,5278.582249723508,4448.75872770855,158,5028.821555091248
2020-06-08,3650.9688157206174,4180.8901955877345,159,5028.817051382922
2020-06-09,4368.3077764040945,3807.189033859787,160,5028.812547674595
2020-06-10,509.5511525216589,3551.5995128033305,161,5028.808043966269
2020-06-11,4881.128285797071,3432.478237556071,162,5028.803540257943
2020-06-12,11653.712645325884,4728.862120688303,163,5028.799036549616
2020-06-13,674.3186089258618,4430.938504916957,164,5028.79453284129
2020-06-14,5164.1245865610845,4414.587410179467,165,5028.790029132963
2020-06-15,3630.388843465299,4411.6474141429935,166,5028.785525424637
2020-06-16,3232.4535445844995,4249.382523883051,167,5028.7810217163105
2020-06-17,5443.830733060229,4954.279606817132,168,5028.776518007984
2020-06-18,8115.924379246679,5416.39333445279,169,5028.772014299658
2020-06-19,9570.42551945259,5118.780887899463,170,5028.767510591331
2020-06-20,7016.2102858693415,6024.765413177104,171,5028.763006883005
2020-06-21,523.1402561921952,5361.767651695834,172,5028.7585031746785
2020-06-22,3872.8156443308476,5396.400051819483,173,5028.753999466352
2020-06-23,5351.055097510772,5699.0574165232365,174,5028.749495758026
2020-06-24,1660.9225014916653,5158.6419548705835,175,5028.744992049699
2020-06-25,2454.761483708947,4349.9043983651945,176,5028.740488341373
2020-06-26,3692.0891730992917,3510.1420631718656,177,5028.735984633046
2020-06-27,5582.635990386771,3305.3457352457845,178,5028.73148092472
2020-06-28,5347.693167146066,3994.5675796677656,179,5028.726977216394
2020-06-29,2781.7769810810923,3838.704913489229,180,5028.722473508067
2020-06-30,4155.496428430691,3667.91081790636,181,5028.717969799741
2020-07-01,1592.0286437197005,3658.0688382246512,182,5028.713466091414
2020-07-02,4019.024495218705,3881.5349827260457,183,5028.708962383088
2020-07-03,5345.176424221504,4117.690304314933,184,5028.704458674762
2020-07-04,2802.119065376663,3720.47360074206,185,5028.699954966435
2020-07-05,4850.287944504221,3649.4157117932255,186,5028.695451258109
2020-07-06,2732.7616906948697,3642.4135274523364,187,5028.690947549782
2020-07-07,8468.976290514103,4258.624936321396,188,5028.686443841456
2020-07-08,9312.228312022005,5361.5106032217245,189,5028.6819401331295
2020-07-09,1664.5987407214948,5025.16406686498,190,5028.677436424803
2020-07-10,8950.71990005183,5540.241706269312,191,5028.672932716477
2020-07-11,5579.550785343577,5937.017666264585,192,5028.66842900815
2020-07-12,3889.7469436409237,5799.7975232841145,193,5028.663925299824
2020-07-13,6069.204531395815,6276.432214812821,194,5028.659421591497
2020-07-14,1819.633784468456,5326.526142520587,195,5028.654917883171
2020-07-15,4068.8102116240852,4577.466413892312,196,5028.650414174845
2020-07-16,2718.5392888911156,4728.0293493451145,197,5028.645910466518
2020-07-17,4757.765626735987,4129.035881728565,198,5028.641406758192
2020-07-18,1913.1266515819693,3605.2610054769075,199,5028.636903049865
2020-07-19,3725.1816040031463,3581.751671242939,200,5028.632399341539
2020-07-20,8731.626677487217,3962.097692113139,201,5028.627895633213
2020-07-21,8799.452832746134,4959.21469900995,202,5028.623391924886
2020-07-22,3733.230859685655,4911.2747915901755,203,5028.61888821656
2020-07-23,2354.279580594091,4859.237690404885,204,5028.614384508233
2020-07-24,1160.5728526235807,4345.353008388827,205,5028.609880799907
2020-07-25,5162.548964011711,4809.55619587879,206,5028.6053770915805
2020-07-26,8366.17984956948,5472.55594524541,207,5028.600873383254
2020-07-27,3840.575850166232,4773.834398485269,208,5028.596369674928
2020-07-28,1604.022742625885,3745.915814182376,209,5028.591865966601
2020-07-29,8286.721935921509,4396.414539358927,210,5028.587362258275
2020-07-30,8273.523051650269,5242.020749509809,211,5028.5828585499485
2020-07-31,7122.554033556109,6093.732346785885,212,5028.578354841622
2020-08-01,2873.3430108616863,5766.70292490731,213,5028.573851133296
2020-08-02,8153.06908938408,5736.25853059511,214,5028.569347424969
2020-08-03,6093.520449295251,6058.107759042113,215,5028.564843716643
2020-08-04,10674.73558287046,7353.923879077052,216,5028.560340008316
2020-08-05,3365.890018373373,6650.947890855889,217,5028.55583629999
2020-08-06,1300.0753368241838,5654.741074452163,218,5028.551332591664
2020-08-07,5498.457841544209,5422.727332736177,219,5028.546828883336
2020-08-08,7171.660607785226,6036.772703725254,220,5028.54232517501
2020-08-09,4056.5980706699575,5451.562558194666,221,5028.537821466683
2020-08-10,2406.793294169186,4924.887250319514,222,5028.533317758357
2020-08-11,3111.4695262287405,3844.420670799268,223,5028.528814050031
2020-08-12,4519.523281469005,4009.2254226700725,224,5028.524310341704
2020-08-13,6660.70500754261,4775.029661344133,225,5028.519806633378
2020-08-14,2948.3792829942145,4410.73272440842,226,5028.515302925051
2020-08-15,8289.438498610016,4570.415280240532,227,5028.510799216725
2020-08-16,585.1470421720838,4074.493704740836,228,5028.506295508399
2020-08-17,10156.889392621413,5181.650290234013,229,5028.501791800072
2020-08-18,2773.812016003746,5133.413503059012,230,5028.497288091746
2020-08-19,3313.672213095641,4961.149064719961,231,5028.492784383419
2020-08-20,440.34283189900106,4072.5258967708737,232,5028.488280675093
2020-08-21,7990.064914520862,4792.766701274681,233,5028.4837769667665
2020-08-22,4285.746235904757,4220.8106637453575,234,5028.47927325844
2020-08-23,3284.851584031603,4606.482741153861,235,5028.474769550114
2020-08-24,5586.392798917327,3953.554656338991,236,5028.470265841787
2020-08-25,3696.6551343652045,4085.3893875334848,237,5028.465762133461
2020-08-26,3419.808317750578,4100.551688198476,238,5028.4612584251345
2020-08-27,2611.3714899098777,4410.698639342887,239,5028.456754716808
2020-08-28,3809.7406138950914,3813.5094535392054,240,5028.452251008482
2020-08-29,6499.585590032828,4129.772218414644,241,5028.447747300155
2020-08-30,8122.720234683613,4820.896311364931,242,5028.443243591829
2020-08-31,5627.284790154064,4826.738024398751,243,5028.438739883502
2020-09-01,3735.6262756577435,4832.305330297685,244,5028.434236175176
2020-09-02,7962.749030386591,5481.296860674258,245,5028.42973246685
2020-09-03,7925.706245844939,6240.487540093552,246,5028.425228758523
2020-09-04,5422.438358525832,6470.872932183658,247,5028.420725050197
2020-09-05,2238.3136254214596,5862.119794382034,248,5028.41622134187
2020-09-06,8236.87638067997,5878.427815238656,249,5028.411717633544
2020-09-07,2159.822197290257,5383.076016258114,250,5028.407213925218
2020-09-08,4227.306631306641,5453.316067065099,251,5028.402710216891
2020-09-09,4655.318307789139,4980.825963836891,252,5028.398206508565
2020-09-10,7308.664073002788,4892.677082002298,253,5028.393702800238
2020-09-11,7024.45051360941,5121.535961299952,254,5028.389199091912
2020-09-12,11670.420375003243,6468.979782668778,255,5028.3846953835855
2020-09-13,7976.463035537158,6431.777876219805,256,5028.380191675259
2020-09-14,2888.945694969396,6535.938375888254,257,5028.375687966933
2020-09-15,6737.917303275237,6894.597043312338,258,5028.371184258606
2020-09-16,2771.614509469199,6625.496500695204,259,5028.36668055028
2020-09-17,1976.268109367126,5863.725648747253,260,5028.362176841953
2020-09-18,5698.7107507371,5674.3342540512085,261,5028.357673133627
2020-09-19,4160.357499754362,4601.468129015654,262,5028.353169425301
2020-09-20,3499.9765526669053,3961.9700600341894,263,5028.348665716974
2020-09-21,2745.3565165031205,3941.457320253293,264,5028.344162008648
2020-09-22,6515.211956889558,3909.6422707696247,265,5028.339658300321
2020-09-23,3827.5568134605887,4060.491171339823,266,5028.335154591995
2020-09-24,5039.733558164889,4498.129092596646,267,5028.330650883669
2020-09-25,13089.78005896097,5553.996136628628,268,5028.326147175342
2020-09-26,4538.7828982563515,5608.056907843197,269,5028.321643467016
2020-09-27,3707.301520697909,5637.674760419055,270,5028.317139758689
2020-09-28,2898.135353006908,5659.500308491026,271,5028.312636050363
2020-09-29,2745.535029573462,5120.975033160154,272,5028.3081323420365
2020-09-30,7855.174377505287,5696.348970880826,273,5028.30362863371
2020-10-01,5220.732687918851,5722.205989417106,274,5028.299124925384
2020-10-02,5675.25887844777,4662.98867791522,275,5028.294621217057
2020-10-03,3635.778525448696,4533.988053228412,276,5028.290117508731
2020-10-04,4277.9277411414205,4615.506084720342,277,5028.2856138004045
2020-10-05,847.0074320352157,4322.487810295815,278,5028.281110092078
2020-10-06,5059.337914484473,4653.0310795688165,279,5028.276606383752
2020-10-07,8590.87020374371,4758.130483317162,280,5028.272102675425
2020-10-08,5788.993168928348,4839.3105520328045,281,5028.267598967099
2020-10-09,2676.0582748572033,4410.853322948438,282,5028.263095258772
2020-10-10,6375.989379985151,4802.312016453646,283,5028.258591550446
2020-10-11,2869.224336508239,4601.06867293462,284,5028.25408784212
2020-10-12,1300.9565077916473,4665.918540899825,285,5028.249584133793
2020-10-13,1943.8194150088007,4220.844469546157,286,5028.245080425467
2020-10-14,3944.966577068134,3557.143951449646,287,5028.24057671714
2020-10-15,2540.0339525335157,3093.0069205360987,288,5028.236073008814
2020-10-16,3988.973408446598,3280.5662253345836,289,5028.2315693004875
2020-10-17,7002.91624610076,3370.127206208242,290,5028.227065592161
2020-10-18,1871.8502821169407,3227.645198438057,291,5028.222561883835
2020-10-19,9917.993865808552,4458.650535297615,292,5028.218058175508
2020-10-20,3192.317119480351,4637.007350222121,293,5028.213554467182
2020-10-21,7748.949274524608,5180.4334498587605,294,5028.2090507588555
2020-10-22,5659.612939533188,5626.087590858714,295,5028.204547050529
2020-10-23,1610.6902062324575,5286.332847685265,296,5028.200043342203
2020-10-24,2493.029247656108,4642.063276478887,297,5028.195539633876
2020-10-25,974.5905251977867,4513.883311204721,298,5028.19103592555
2020-10-26,4829.336032501161,3786.9321921608084,299,5028.186532217223
2020-10-27,10248.073373246827,4794.8973712703055,300,5028.182028508897
2020-10-28,863.8341927291885,3811.3095024423883,301,5028.177524800571
2020-10-29,4413.488382092338,3633.2917085222666,302,5028.173021092244
2020-10-30,3370.1391897463122,3884.64156330996,303,5028.168517383918
2020-10-31,2607.3513426750515,3900.9732911698093,304,5028.164013675591
2020-11-01,1348.2895625312967,3954.3588679317395,305,5028.159509967265
2020-11-02,5790.277539281445,4091.6362260432084,306,5028.155006258938
2020-11-03,2670.09058540159,3009.0672563510316,307,5028.150502550611
2020-11-04,5584.463567063909,3683.442881255992,308,5028.145998842285
2020-11-05,3630.705428680319,3571.616745054275,309,5028.141495133958
2020-11-06,6529.6718839302275,4022.97855850912,310,5028.136991425632
2020-11-07,2887.743997122272,4063.03465200158,311,5028.132487717306
2020-11-08,1261.8849093215763,4050.691130114477,312,5028.127984008979
2020-11-09,9601.71714723339,4595.18250267904,313,5028.123480300653
2020-11-10,7315.284044469798,5258.781568260213,314,5028.118976592326
2020-11-11,5263.021646348154,5212.861293872249,315,5028.114472884
2020-11-12,2851.504383795999,5101.546858888774,316,5028.1099691756735
2020-11-13,10353.226525585747,5647.768950553848,317,5028.105465467347
2020-11-14,7369.210145730548,6287.97840035503,318,5028.100961759021
2020-11-15,16139.935505792715,8413.414199850908,319,5028.096458050694
2020-11-16,3005.54471867985,7471.103852914687,320,5028.091954342368
2020-11-17,15425.156830488813,8629.65710806026,321,5028.0874506340415
2020-11-18,3493.644859040793,8376.88899558778,322,5028.082946925715
2020-11-19,1164.8556425468107,8135.939175409326,323,5028.078443217389
2020-11-20,8348.392361013397,7849.534294756132,324,5028.073939509062
2020-11-21,6652.443480089685,7747.139056807438,325,5028.069435800736
2020-11-22,9156.305510198927,6749.477628865468,326,5028.064932092409
2020-11-23,2678.505725896296,6702.757772753532,327,5028.060428384083
2020-11-24,14788.945403347987,6611.870426019128,328,5028.055924675757
2020-11-25,10610.442623541188,7628.555820947756,329,5028.05142096743
2020-11-26,1859.086445890428,7727.731649996844,330,5028.046917259104
2020-11-27,5985.720839294368,7390.207146894126,331,5028.042413550777
2020-11-28,12664.788043450902,8249.113513088585,332,5028.037909842451
2020-11-29,1208.883651524907,7113.767533278011,333,5028.033406134125
2020-11-30,3348.775187405833,7209.520313493659,334,5028.028902425798
2020-12-01,8035.547921429649,6244.749244648182,335,5028.024398717472
2020-12-02,1583.1272473524377,4955.132762335504,336,5028.019895009145
2020-12-03,5410.542715197626,5462.483657950817,337,5028.015391300819
2020-12-04,10564.326264714706,6116.57014729658,338,5028.0108875924925
2020-12-05,11171.444127070172,5903.235302099332,339,5028.006383884166
2020-12-06,6646.772782824219,6680.076606570663,340,5028.00188017584
2020-12-07,4771.114840258593,6883.26798554963,341,5027.997376467513
2020-12-08,5889.988186629991,6576.759452006821,342,5027.992872759187
2020-12-09,9294.643594403042,7678.404644442621,343,5027.9883690508605
2020-12-10,6799.055012980658,7876.763544125912,344,5027.983865342534
2020-12-11,3307.990480660503,6840.144146403882,345,5027.979361634208
2020-12-12,3909.5231493413867,5802.726863871199,346,5027.974857925881
2020-12-13,1498.274094299668,5067.227051224835,347,5027.970354217555
2020-12-14,2727.749632407048,4775.317735817471,348,5027.965850509228
2020-12-15,39.60461321724415,3939.548653901364,349,5027.961346800902
2020-12-16,835.7570418112332,2731.1362892453913,350,5027.956843092576
2020-12-17,15478.349220121943,3971.0354616941468,351,5027.952339384249
2020-12-18,6348.062785860088,4405.331505294087,352,5027.947835675923
2020-12-19,9183.459776308086,5158.751023432188,353,5027.943331967596
2020-12-20,6659.330165270048,5896.0447478565275,354,5027.93882825927
2020-12-21,3027.499594573109,5938.866171023108,355,5027.9343245509435
2020-12-22,11054.38559239782,7512.406310906047,356,5027.929820842617
2020-12-23,9670.95814100327,8774.57789650491,357,5027.925317134291
2020-12-24,3470.540930457165,7059.1767122670835,358,5027.920813425964
2020-12-25,3298.5577053284537,6623.533129333993,359,5027.916309717638
2020-12-26,17800.885213586163,7854.593906088005,360,5027.9118060093115
2020-12-27,1584.2909951212955,7129.588310352468,361,5027.907302300985
2020-12-28,3446.4530300284537,7189.438801131803,362,5027.902798592659
2020-12-29,3963.462428277439,6176.449777686034,363,5027.898294884332
2020-12-30,9890.570122078881,6207.822917839694,364,5027.893791176006
2020-12-31,6033.948974546131,6574.02406699526,365,5027.889287467679
2021-01-01,4077.2498738765985,6685.26580535928,366,5027.884783759353
2021-01-02,1486.1703198379041,4354.592249109529,367,5027.880280051027
2021-01-03,7418.462685746801,5188.045347770315,368,5027.8757763427
2021-01-04,765.2142811149961,4805.011240782679,369,5027.871272634374
2021-01-05,3249.4368818011208,4703.007591286062,370,5027.866768926047
2021-01-06,702.5012210507792,3390.4263197106184,371,5027.862265217721
2021-01-07,4401.709424501698,3157.2492411328426,372,5027.857761509395
2021-01-08,3916.296622388629,3134.2559194917044,373,5027.853257801068
2021-01-09,4134.528016865507,3512.59273335279,374,5027.848754092742
2021-01-10,8790.808050706313,3708.6420712041486,375,5027.844250384415
2021-01-11,2476.384599048789,3953.094973766119,376,5027.839746676089
2021-01-12,6346.556182761199,4395.540588188987,377,5027.8352429677625
2021-01-13,6836.414115197971,5271.813858781445,378,5027.830739259436
2021-01-14,1717.7163787175655,4888.386280812281,379,5027.82623555111
2021-01-15,8939.091423367949,5605.928395237898,380,5027.821731842783
2021-01-16,6076.204139331983,5883.310698447395,381,5027.817228134457
2021-01-17,2997.590504296394,5055.708191817407,382,5027.81272442613
2021-01-18,4262.938507543711,5310.930178745252,383,5027.808220717804
2021-01-19,8811.24357143352,5663.028377127013,384,5027.803717009478
2021-01-20,6761.347730213098,5652.304607843461,385,5027.799213301151
2021-01-21,3979.35459800072,5975.395782026768,386,5027.794709592825
2021-01-22,3820.9195703598766,5244.2283744541855,387,5027.790205884498
2021-01-23,2184.9241330342406,4688.331230697366,388,5027.785702176172
2021-01-24,5252.943930969221,5010.524577364913,389,5027.781198467846
2021-01-25,6979.302523307315,5398.576579616856,390,5027.776694759519
2021-01-26,3596.5859477986874,4653.625490526166,391,5027.772191051193
2021-01-27,9808.028753321352,5088.865636684487,392,5027.767687342866
2021-01-28,160.4940065706064,4543.314123623042,393,5027.763183634539
2021-01-29,14247.988985564578,6032.895468652286,394,5027.758679926213
2021-01-30,2316.806514925873,6051.735808922518,395,5027.754176217886
2021-01-31,2715.266726269106,5689.21049396536,396,5027.74967250956
2021-02-01,3527.4612952073735,5196.090318522511,397,5027.745168801233
2021-02-02,4311.541236328817,5298.22678831253,398,5027.740665092907
2021-02-03,4975.397554021314,4607.850902698238,399,5027.736161384581
2021-02-04,7909.988070567579,5714.921483269235,400,5027.731657676254
2021-02-05,3468.3926321797176,4174.979147071397,401,5027.727153967928
2021-02-06,6253.793967549292,4737.4059260176,402,5027.722650259601
2021-02-07,2702.7302444828115,4735.615000048129,403,5027.718146551275
2021-02-08,3685.5811188431594,4758.203546281812,404,5027.7136428429485
2021-02-09,5965.358453688528,4994.463148761772,405,5027.709139134622
2021-02-10,5927.210384295444,5130.436410229505,406,5027.704635426296
2021-02-11,4577.093318532601,4654.308588510222,407,5027.700131717969
2021-02-12,4378.138007180618,4784.2722135103495,408,5027.695628009643
2021-02-13,6048.511335571671,4754.946123227834,409,5027.691124301316
2021-02-14,2410.873547353856,4713.252309352269,410,5027.68662059299
2021-02-15,9166.662101315516,5496.263878276891,411,5027.682116884664
2021-02-16,8816.045529202613,5903.504889064617,412,5027.677613176337
2021-02-17,1678.6353448706127,5296.565597718212,413,5027.673109468011
2021-02-19,6851.446490125372,5621.473193660037,415,5027.664102051358
2021-02-20,4409.644135071128,5625.974069072967,416,5027.659598343032
2021-02-21,8672.725405873405,6000.861793401787,417,5027.655094634705
2021-02-22,3016.9661078210925,6087.446444897106,418,5027.650590926379
2021-02-23,8263.662873962809,5958.44655527529,419,5027.646087218052
